,integralizacao,campo,valor
0,0,media_NC,0
1,0,media_NE,0
2,0,media_matematica,0
3,0,media_programacao,0
4,1,media_NC,0
5,1,media_NE,0
6,1,media_matematica,0
7,1,media_programacao,0
8,2,media_NC,1
9,2,media_NE,0
10,2,media_matematica,0
11,2,media_programacao,1
12,3,media_NC,1
13,3,media_NE,0
14,3,media_matematica,0
15,3,media_programacao,1
16,4,media_NC,0
17,4,media_NE,1
18,4,media_matematica,0
19,4,media_programacao,1
20,5,media_NC,0
21,5,media_NE,1
22,5,media_matematica,0
23,5,media_programacao,1
24,6,media_NC,1
25,6,media_NE,1
26,6,media_matematica,0
27,6,media_programacao,1
28,7,media_NC,1
29,7,media_NE,1
30,7,media_matematica,1
31,7,media_programacao,1
32,8,media_NC,1
33,8,media_NE,1
34,8,media_matematica,1
35,8,media_programacao,1
36,9,media_NC,1
37,9,media_NE,1
38,9,media_matematica,1
39,9,media_programacao,1
40,10,media_NC,1
41,10,media_NE,1
42,10,media_matematica,1
43,10,media_programacao,1
